Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
RWE,Germany,DEU,Electricity Utilities,Yes,large,DE0007037129;DE0007037145,4768962;4769147,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
Range Resources,United States of America,USA,Oil & Gas,No,small,US75281A1097,2523334,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Ratch Group,Thailand,THA,Electricity Utilities,No,medium,TH0637010Y00,BK1W1V2,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Raytheon Technologies,United States of America,USA,Other Industrials,Yes,large,US75513E1010,BM5M5Y3,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Reckitt Benckiser,United Kingdom,GBR,Consumer Goods,No,large,GB00B24CGK77,B24CGK7,01/11/2023,11/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Red Electrica,Spain,ESP,Electricity Utilities,No,medium,ES0173093024,BD6FXN3,01/11/2023,03/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Redes Energeticas Nacionais,Portugal,PRT,Electricity Utilities,No,small,PTREL0AM0008,B233HR5,01/11/2023,25/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Reliance Industries,India,IND,Oil & Gas,Yes,large,INE002A01018;US7594701077;IN9002A01032,6099626;B16CYP9;BMFB937,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
Reliance Steel & Aluminium (Aluminium),United States of America,USA,Aluminium,No,small,US7595091023,2729068,01/11/2023,14/02/2023,1,unchanged,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Reliance Steel & Aluminium (Steel),United States of America,USA,Steel,No,small,US7595091023,2729068,01/11/2023,14/02/2023,1,unchanged,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Renault,France,FRA,Autos,Yes,large,FR0000131906,4712798,01/11/2023,04/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Repsol,Spain,ESP,Oil & Gas,Yes,large,ES0173516115,5669354,01/11/2023,28/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Republic Services,United States of America,USA,Services,No,large,US7607591002,2262530,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Rio Tinto (Aluminium),Australia,AUS,Aluminium,Yes,large,notfound,notfound,01/11/2023,27/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
Rio Tinto (Diversified mining),Australia,AUS,Diversified Mining,Yes,large,notfound,notfound,01/11/2023,27/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
Rivian Automotive,United States of America,USA,Autos,No,medium,US76954A1034,BL98841,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Roche,Switzerland,CHE,Consumer Goods,No,large,CH0012032048,7110388,01/11/2023,19/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Rolls-Royce,United Kingdom,GBR,Other Industrials,Yes,large,GB00B63H8491,B63H849,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Ross Stores,United States of America,USA,Services,No,large,US7782961038,2746711,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,No
Royal Caribbean Group,United States of America,USA,Services,No,medium,LR0008862868,2754907,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Royal DSM,Netherlands,NLD,Chemicals,No,large,NL0000009827,B0HZL93,01/11/2023,08/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Ruentex Development,Taiwan,TWN,Cement,No,small,TW0009945006,6748423,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Russel Metals,Canada,CAN,Steel,No,small,CA7819036046,2248808,01/11/2023,26/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
S-Oil,South Korea,KOR,Oil & Gas,No,large,KR7010950004,6406055,01/11/2023,12/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No
SABIC Agri-Nutrients,Saudi Arabia,SAU,Chemicals,No,large,SA0007879139,B1323K0,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
SAIC motor,China,CHN,Autos,Yes,large,CNE000000TY6,6086974;BP3R2D9,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
SAS Group,Sweden,SWE,Airlines,No,small,SE0003366871,7129577,01/11/2023,08/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
SITC International Holdings,Hong Kong,HKG,Shipping,No,large,KYG8187G1055,B61X7R5,01/11/2023,24/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
SK,South Korea,KOR,Other Industrials,No,large,KR7034730002,B39Z8L3,01/11/2023,12/05/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
SK Hynix,South Korea,KOR,Other Industrials,No,large,KR7000660001,6450267,01/11/2023,24/04/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
SK Innovation,South Korea,KOR,Oil & Gas,Yes,large,KR7096770003,B232R05,01/11/2023,02/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
SKC,South Korea,KOR,Chemicals,No,medium,KR7011790003,6018085,01/11/2023,12/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
SM Energy,United States of America,USA,Oil & Gas,No,small,US78454L1008,2764188,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No
SRF,India,IND,Chemicals,No,large,INE647A01010,6374947,01/11/2023,12/05/2023,1,new,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
SSAB,Sweden,SWE,Steel,Yes,small,SE0000171100;SE0000120669,B17H0S8;B17H3F6,01/11/2023,04/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,No,Yes,Yes,No,No,No,No,No,No
SSE,United Kingdom,GBR,Electricity Utilities,Yes,large,GB0007908733,790873,01/11/2023,12/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
STMicroelectronics,Italy,ITA,Other Industrials,No,large,NL0000226223,5962332,01/11/2023,04/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Safran,France,FRA,Other Industrials,No,large,FR0000073272,B058TZ6,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Sahara International Petrochemical,Saudi Arabia,SAU,Chemicals,No,medium,SA000A0KFKK0,B1C1NH5,01/11/2023,04/05/2023,1,new,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Samsung Electronics,South Korea,KOR,Other Industrials,No,unlisted,US7960508882,4942818,01/11/2023,12/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Samsung SDI,South Korea,KOR,Other Industrials,No,large,KR7006400006,6771645,01/11/2023,12/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Sandvik,Sweden,SWE,Steel,No,large,SE0000667891,B1VQ252,01/11/2023,04/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Sankyo Tateyama,Japan,JPN,Aluminium,No,small,JP3326800004,B8W6W72,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Sanofi,France,FRA,Consumer Goods,No,large,FR0000120578,5671735,01/11/2023,27/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Santos,Australia,AUS,Oil & Gas,Yes,large,AU000000STO6,6776703,01/11/2023,04/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Sappi,South Africa,ZAF,Paper,No,medium,ZAE000006284,6777007,01/11/2023,27/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Saputo,Canada,CAN,Food Producers,No,medium,CA8029121057,2112226,01/11/2023,19/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Sasol (Chemicals),South Africa,ZAF,Chemicals,Yes,large,ZAE000006896,6777450,01/11/2023,04/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Sasol (Oil & Gas),South Africa,ZAF,Oil & Gas,Yes,large,ZAE000006896,6777450,01/11/2023,04/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Saudi Arabian Mining,Saudi Arabia,SAU,Aluminium,No,large,SA123GA0ITH7,B3C8VY3,01/11/2023,11/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Saudi Aramco,Saudi Arabia,SAU,Oil & Gas,Yes,large,SA14TG012N13,BJTM270,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Saudi Basic Industries,Saudi Arabia,SAU,Chemicals,No,large,SA0007879121,B1324D0,01/11/2023,16/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Saudi Cement,Saudi Arabia,SAU,Cement,No,medium,SA0007879469,B132HD1,01/11/2023,17/04/2023,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Saudi Electricity,Saudi Arabia,SAU,Electricity Utilities,No,large,SA0007879550,B132NM2,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Saudi Industrial Investment Group,Saudi Arabia,SAU,Chemicals,No,medium,SA000A0B89Q3,B132Y63,01/11/2023,04/05/2023,0,new,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Saudi Kayan Petrochemicals,Saudi Arabia,SAU,Chemicals,No,medium,SA000A0MQCJ2,B1Z8F66,01/11/2023,17/04/2023,1,new,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Schlumberger,United States of America,USA,Other Industrials,No,large,AN8068571086,2779201,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Schneider Electric,France,FRA,Other Industrials,No,large,FR0000121972,4834108,01/11/2023,27/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Scotts Miracle-Gro,United States of America,USA,Chemicals,No,small,US8101861065,2781518,01/11/2023,12/05/2023,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
Semen Indonesia,Indonesia,IDN,Cement,No,large,ID1000106800,6795236,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Semirara Mining and Power,Philippines,PHL,Coal Mining,No,medium,PHY7628G1124,BQ13Z04,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
Sempra Energy,United States of America,USA,Electricity Utilities,No,large,US8168511090,2138158,01/11/2023,03/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Seven & I Holdings,Japan,JPN,Consumer Goods,No,large,JP3422950000,B0FS5D6,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Shaanxi Coal Industry,China,CHN,Coal Mining,No,unlisted,CNE100001T64,BJ3WDM8,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Shandong Chenming,China,CHN,Paper,No,medium,CNE000000QM7;CNE100000BK2;CNE0000015H5,6801832;B2RJKP8;6294960;BD5CQ14,01/11/2023,05/05/2023,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Shandong Nanshan Aluminium,China,CHN,Aluminium,No,small,CNE000001139,6203375,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Shandong Sun Paper Industry,China,CHN,Paper,No,unlisted,CNE000001P52,B1G5XV7,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Shanghai Construction,China,CHN,Cement,No,small,CNE000000WR4,6117874,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Shanxi Lu'an Environmental Energy Development,China,CHN,Coal Mining,No,small,CNE000001NT7,B1CWSY0,01/11/2023,24/04/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Shanxi Meijin Energy,China,CHN,Coal Mining,No,small,CNE0000005J2,6003940,01/11/2023,17/04/2023,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Shanxi Xishan Coal and Electricity Power,China,CHN,Coal Mining,No,small,CNE0000013Y5,6281519,01/11/2023,17/04/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Shanying International Holdings,China,CHN,Paper,No,unlisted,CNE0000019B0,6427788,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Shell,United Kingdom,GBR,Oil & Gas,Yes,large,GB00B03MM408;GB00B03MLX29,B03MM40;B03MLX2;B09CBL4,01/11/2023,24/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes
Shenzhen Zhongjin Lingnan Nonfemet,China,CHN,Aluminium,No,small,CNE000000FS7,6188052,01/11/2023,24/04/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Sherwin-Williams,United States of America,USA,Other Industrials,No,large,US8243481061,2804211,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Shihlin Paper,Taiwan,TWN,Paper,No,small,TW0001903003,6804530,01/11/2023,17/04/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Shikoku Electric Power,Japan,JPN,Electricity Utilities,No,medium,JP3350800003,6804347,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Shimge Pump Industry Group,China,CHN,Aluminium,No,small,CNE100000YJ6,B4Y4VY6,01/11/2023,17/04/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Shin Yang Shipping,Malaysia,MYS,Shipping,No,unlisted,MYL5173OO009,B56H333,01/11/2023,24/04/2023,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Shin-Etsu Chemical,Japan,JPN,Chemicals,No,large,JP3371200001,6804585,01/11/2023,16/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Shougang Fushan Resources,Hong Kong,HKG,Coal Mining,No,medium,HK0639031506,6354671,01/11/2023,04/05/2023,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Showa Denko,Japan,JPN,Aluminium,No,medium,JP3368000000,6805469,01/11/2023,31/03/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Shree Cements,India,IND,Cement,No,large,INE070A01015,6100357,01/11/2023,04/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,Yes,No,No,No,No,No,No
Siam Cement,Thailand,THA,Cement,No,large,TH0003010Z12;TH0003010Z04;TH0003010R12,6609906;6609917;6609928,01/11/2023,06/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Siam City Cement,Thailand,THA,Cement,No,medium,TH0021010Z06;TH0021010R14,6806376;6363194,01/11/2023,26/04/2023,2,unchanged,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Siemens,Germany,DEU,Other Industrials,No,large,DE0007236101,5727973,01/11/2023,03/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Siemens Energy,Germany,DEU,Other Industrials,Yes,unlisted,DE000ENER6Y0,BMTVQK9,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No
Sims Metal Management,Australia,AUS,Steel,No,medium,AU000000SGM7,B0LCW75,01/11/2023,12/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Sincere Navigation,Taiwan,TWN,Shipping,No,small,TW0002605003,6810731,01/11/2023,29/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Singapore Airlines,Singapore,SGP,Airlines,No,large,SG1V61937297;SGXN46541243;SGXN93802555,6811734;BMVF5Y6;BMBP0H4,01/11/2023,27/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Sinoma International Engineering,China,CHN,Cement,No,small,CNE000001LS3,B0762D7,01/11/2023,17/04/2023,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Sinopec China Petroleum & Chemical,China,CHN,Oil & Gas,Yes,large,CNE1000002Q2;CNE0000018G1,6291819;6373728;BP3R240,01/11/2023,03/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Sintokogio,Japan,JPN,Aluminium,No,small,JP3378200004,6804626,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Smurfit Kappa,Ireland,IRL,Other Industrials,No,large,IE00B1RR8406,B1RR840,01/11/2023,15/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,Yes,No,No,No,No,No,No
Snam IT,Italy,ITA,Oil & Gas Distribution,No,large,IT0003153415,7251470,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Soc Quimica Y Minera,Chile,CHL,Chemicals,No,unlisted,US8336351056,2771122,01/11/2023,25/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
SoftBank,Japan,JPN,Services,No,large,JP3436100006,6770620,01/11/2023,24/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
